ax,ay,az,gx,gy,gz,target,target_name
0.08,1.0,0.02,-1.22,0.67,-0.49,0.0,left-right
0.08,0.97,0.01,-1.59,0.67,-0.61,0.0,left-right
0.08,0.97,0.01,-1.46,1.1,-0.67,0.0,left-right
0.08,0.99,0.01,-1.34,0.67,-0.43,0.0,left-right
0.08,0.98,0.01,-1.71,0.92,-0.61,0.0,left-right
0.08,0.98,0.01,-1.89,1.04,-0.55,0.0,left-right
0.08,0.98,0.02,-1.46,0.61,-0.37,0.0,left-right
0.08,0.98,0.01,-0.85,0.85,-0.67,0.0,left-right
0.08,0.98,0.01,-0.43,0.73,-0.67,0.0,left-right
0.08,0.98,0.02,0.37,0.43,-0.67,0.0,left-right
0.08,0.97,0.01,0.06,0.67,-1.04,0.0,left-right
0.08,0.98,0.01,-1.22,0.67,-0.67,0.0,left-right
0.08,0.98,0.01,-1.1,0.73,-0.61,0.0,left-right
0.08,0.97,0.01,-0.92,0.79,-0.67,0.0,left-right
0.08,0.99,0.01,-0.98,0.61,-0.61,0.0,left-right
0.08,0.98,0.02,-1.28,0.79,-0.49,0.0,left-right
0.08,0.97,0.01,-0.98,0.98,-0.79,0.0,left-right
0.08,0.99,0.02,-0.37,0.37,-0.61,0.0,left-right
0.09,0.98,0.02,0.37,0.43,-0.55,0.0,left-right
0.09,0.98,0.01,0.49,0.92,-1.04,0.0,left-right
0.08,0.98,0.02,0.18,0.18,-0.92,0.0,left-right
0.08,0.98,0.01,-0.43,0.49,-0.73,0.0,left-right
0.08,0.97,0.01,-1.59,1.22,-0.79,0.0,left-right
0.07,0.99,0.02,-3.42,0.73,-0.06,0.0,left-right
0.08,0.97,0.01,-5.55,1.4,-0.12,0.0,left-right
0.08,0.98,0.01,-6.96,2.01,0.0,0.0,left-right
0.08,0.98,0.01,-8.24,1.65,0.55,0.0,left-right
0.08,0.97,0.0,-8.36,2.2,0.12,0.0,left-right
0.08,0.98,0.0,-7.08,1.95,-0.06,0.0,left-right
0.08,0.98,0.01,-5.37,1.22,0.31,0.0,left-right
0.08,0.98,0.0,-3.85,1.71,-0.49,0.0,left-right
0.08,0.98,0.0,-1.22,0.85,-0.79,0.0,left-right
0.07,0.99,0.01,1.83,0.18,-0.73,0.0,left-right
0.08,0.97,0.0,4.03,0.24,-1.89,0.0,left-right
0.07,0.98,0.02,6.53,-0.31,-1.65,0.0,left-right
0.07,0.98,0.02,7.32,-0.43,-1.77,0.0,left-right
0.08,0.97,0.01,5.92,-0.31,-2.38,0.0,left-right
0.08,0.98,0.02,4.21,-0.24,-1.65,0.0,left-right
0.09,0.98,0.02,2.01,0.24,-1.22,0.0,left-right
0.09,0.97,0.01,-0.79,0.79,-0.73,0.0,left-right
0.08,0.98,0.02,-3.36,1.1,-0.43,0.0,left-right
0.08,0.98,0.02,-4.46,1.53,-0.24,0.0,left-right
0.08,0.98,0.02,-5.0,1.59,-0.12,0.0,left-right
0.08,0.98,0.01,-4.88,1.4,-0.12,0.0,left-right
0.08,0.98,0.02,-4.46,1.34,-0.12,0.0,left-right
0.08,0.98,0.01,-4.21,1.16,-0.24,0.0,left-right
0.08,0.98,0.01,-3.85,1.04,-0.43,0.0,left-right
0.08,0.98,0.01,-4.21,1.16,-0.43,0.0,left-right
0.08,0.98,0.0,-4.03,1.46,-0.49,0.0,left-right
0.08,0.99,0.01,-2.56,1.1,-0.37,0.0,left-right
0.08,0.98,0.01,-1.53,1.04,-0.49,0.0,left-right
0.08,0.98,0.01,-1.04,0.98,-0.55,0.0,left-right
0.08,0.98,0.01,-0.61,0.61,-0.49,0.0,left-right
0.08,0.98,0.01,-1.16,0.79,-0.55,0.0,left-right
0.08,0.98,0.01,-1.53,0.92,-0.55,0.0,left-right
0.08,0.98,0.01,-1.4,0.92,-0.61,0.0,left-right
0.08,0.98,0.01,-1.4,0.85,-0.67,0.0,left-right
0.07,0.98,0.01,-0.98,0.67,-0.67,0.0,left-right
0.07,0.98,0.02,-0.06,1.1,-0.79,0.0,left-right
0.08,0.97,0.01,1.28,2.38,-1.1,0.0,left-right
0.09,0.98,0.01,1.65,2.32,-0.24,0.0,left-right
0.1,0.97,0.01,3.05,1.89,-0.24,0.0,left-right
0.09,0.98,0.02,-0.24,0.24,-0.61,0.0,left-right
0.09,0.98,0.02,-4.15,-0.49,0.06,0.0,left-right
0.09,0.97,-0.01,-4.33,-0.12,-0.61,0.0,left-right
0.06,1.01,0.03,-5.07,-0.43,-0.24,0.0,left-right
0.08,0.96,-0.0,-2.32,1.53,-0.85,0.0,left-right
0.07,0.98,0.02,-2.75,0.31,-0.12,0.0,left-right
0.07,0.99,0.02,-4.76,0.06,0.92,0.0,left-right
0.08,0.97,0.0,-7.2,1.95,-0.73,0.0,left-right
0.08,0.98,0.0,-7.45,2.2,0.31,0.0,left-right
0.08,0.98,0.0,-8.3,1.65,0.18,0.0,left-right
0.08,0.98,0.0,-6.41,1.95,-0.24,0.0,left-right
0.08,0.98,0.0,-2.87,1.16,-0.31,0.0,left-right
0.08,0.99,0.01,-0.06,0.55,-0.55,0.0,left-right
0.09,0.98,0.0,1.95,0.43,-1.59,0.0,left-right
0.08,0.98,0.01,4.82,-0.06,-1.65,0.0,left-right
